PERMNO,date,TICKER,COMNAM,PRIMEXCH,DIVAMT,PRC,VOL,BID,ASK,OPENPRC,NUMTRD,vwretd,ewretd,sprtrn
89393,2016/03/16,NFLX,NETFLIX INC,Q,,99.35000,12631060,99.35000,99.38000,97.53000,77373,0.007489,0.008924,0.005600
89393,2016/03/17,NFLX,NETFLIX INC,Q,,99.72000,13824964,99.72000,99.73000,99.05000,84747,0.008245,0.011663,0.006595
89393,2016/03/18,NFLX,NETFLIX INC,Q,,101.12000,15453454,101.11000,101.12000,100.50000,85380,0.003871,0.004751,0.004406
89393,2016/03/21,NFLX,NETFLIX INC,Q,,101.06000,9580216,101.06000,101.08000,101.15000,53489,0.000506,0.001396,0.000986
89393,2016/03/22,NFLX,NETFLIX INC,Q,,99.84000,9075063,99.82000,99.84000,100.48000,51002,-0.000371,-0.000077,-0.000877
89393,2016/03/23,NFLX,NETFLIX INC,Q,,99.59000,8313480,99.58000,99.61000,99.75000,46300,-0.009452,-0.016278,-0.006386
89393,2016/03/24,NFLX,NETFLIX INC,Q,,98.36000,10671139,98.35000,98.36000,98.64000,60800,-0.000151,0.001315,-0.000378
89393,2016/03/28,NFLX,NETFLIX INC,Q,,101.21000,12432217,101.21000,101.23000,98.34000,75253,0.000800,-0.000776,0.000545
89393,2016/03/29,NFLX,NETFLIX INC,Q,,104.13000,16008868,104.15000,104.18000,101.08000,91148,0.011062,0.013281,0.008817
89393,2016/03/30,NFLX,NETFLIX INC,Q,,102.19000,14704994,102.18000,102.20000,104.65000,78211,0.004480,0.004491,0.004350
89393,2016/03/31,NFLX,NETFLIX INC,Q,,102.23000,9747539,102.22000,102.24000,102.43000,52377,-0.000880,0.001597,-0.002040
89393,2016/04/01,NFLX,NETFLIX INC,Q,,105.70000,14182359,105.69000,105.72000,102.93000,82739,0.004653,0.001458,0.006331
89393,2016/04/04,NFLX,NETFLIX INC,Q,,104.35000,10940426,104.35000,104.36000,105.90000,62728,-0.004388,-0.004642,-0.003208
89393,2016/04/05,NFLX,NETFLIX INC,Q,,104.94000,10060916,104.95000,104.97000,103.47000,59706,-0.010011,-0.007950,-0.010145
89393,2016/04/06,NFLX,NETFLIX INC,Q,,104.83000,9605800,104.83000,104.85000,105.30000,60779,0.011077,0.010790,0.010508
89393,2016/04/07,NFLX,NETFLIX INC,Q,,104.45000,10774911,104.45000,104.46000,104.31000,60149,-0.011634,-0.008705,-0.011976
89393,2016/04/08,NFLX,NETFLIX INC,Q,,103.81000,7857592,103.81000,103.82000,105.12000,48963,0.004345,0.006521,0.002787
89393,2016/04/11,NFLX,NETFLIX INC,Q,,102.68000,7451315,102.68000,102.70000,104.04000,48048,-0.001828,0.002530,-0.002740
89393,2016/04/12,NFLX,NETFLIX INC,Q,,106.98000,12436982,106.98000,107.01000,103.15000,77622,0.010397,0.010832,0.009662
89393,2016/04/13,NFLX,NETFLIX INC,Q,,109.65000,16701709,109.65000,109.68000,108.00000,96821,0.011291,0.014046,0.010040
89393,2016/04/14,NFLX,NETFLIX INC,Q,,110.42000,9553688,110.42000,110.43000,110.01000,53931,-0.000443,-0.000166,0.000173
89393,2016/04/15,NFLX,NETFLIX INC,Q,,111.51000,11746065,111.51000,111.52000,110.64000,63986,-0.000551,0.000181,-0.000984
89393,2016/04/18,NFLX,NETFLIX INC,Q,,108.40000,32834416,108.38000,108.51000,109.90000,180891,0.006768,0.006413,0.006541
89393,2016/04/19,NFLX,NETFLIX INC,Q,,94.34000,55728765,94.30000,94.31000,99.49000,329759,0.004489,0.006452,0.003085
89393,2016/04/20,NFLX,NETFLIX INC,Q,,96.77000,26613506,96.76000,96.77000,94.34000,162562,0.001213,0.002087,0.000762
89393,2016/04/21,NFLX,NETFLIX INC,Q,,94.98000,19919415,94.95000,94.97000,97.31000,100829,-0.005256,-0.002437,-0.005194
89393,2016/04/22,NFLX,NETFLIX INC,Q,,95.90000,15806320,95.87000,95.90000,94.84700,88298,0.001832,0.005730,0.000048
89393,2016/04/25,NFLX,NETFLIX INC,Q,,93.56000,14985382,93.53000,93.56000,95.70000,88247,-0.002778,-0.004843,-0.001812
89393,2016/04/26,NFLX,NETFLIX INC,Q,,92.43000,15330856,92.42000,92.43000,93.50000,85499,0.003355,0.006575,0.001873
89393,2016/04/27,NFLX,NETFLIX INC,Q,,91.04000,12218929,91.04000,91.05000,92.18000,80015,0.002654,0.004825,0.001649
89393,2016/04/28,NFLX,NETFLIX INC,Q,,90.28000,11474907,90.26000,90.28000,91.50000,75855,-0.008541,-0.005091,-0.009231
89393,2016/04/29,NFLX,NETFLIX INC,Q,,90.03000,13968018,90.01000,90.03000,90.50000,91887,-0.004460,-0.003772,-0.005063
89393,2016/05/02,NFLX,NETFLIX INC,Q,,93.11000,12546555,93.13000,93.14000,90.41000,79806,0.006743,0.001938,0.007810
89393,2016/05/03,NFLX,NETFLIX INC,Q,,91.54000,10593880,91.53000,91.55000,92.08000,68798,-0.011090,-0.012704,-0.008677
89393,2016/05/04,NFLX,NETFLIX INC,Q,,90.79000,7384756,90.78000,90.80000,91.00000,45087,-0.006183,-0.006513,-0.005937
89393,2016/05/05,NFLX,NETFLIX INC,Q,,89.37000,10368699,89.35000,89.38000,90.91000,62609,-0.000494,-0.002825,-0.000239
89393,2016/05/06,NFLX,NETFLIX INC,Q,,90.84000,10433936,90.82000,90.84000,88.83000,64241,0.003519,0.001419,0.003175
89393,2016/05/09,NFLX,NETFLIX INC,Q,,90.54000,9543705,90.54000,90.56000,90.73000,53632,-0.000205,-0.002088,0.000753
89393,2016/05/10,NFLX,NETFLIX INC,Q,,92.89000,11175913,92.85000,92.87000,91.14000,59998,0.012303,0.008531,0.012484
89393,2016/05/11,NFLX,NETFLIX INC,Q,,90.02000,11692864,90.00000,90.02000,92.40000,71588,-0.008269,-0.005733,-0.009562
89393,2016/05/12,NFLX,NETFLIX INC,Q,,87.74000,20408518,87.74000,87.75000,90.32000,122179,-0.000765,-0.007262,-0.000170
89393,2016/05/13,NFLX,NETFLIX INC,Q,,87.88000,11571389,87.88000,87.89000,87.39000,71148,-0.007964,-0.004731,-0.008478
89393,2016/05/16,NFLX,NETFLIX INC,Q,,89.12000,11247812,89.11000,89.12000,87.56000,67552,0.010208,0.008845,0.009797
89393,2016/05/17,NFLX,NETFLIX INC,Q,,88.63000,11571267,88.62000,88.63000,89.00000,65718,-0.008603,-0.007519,-0.009411
89393,2016/05/18,NFLX,NETFLIX INC,Q,,90.50000,13911836,90.49000,90.50000,88.25000,83892,-0.000828,-0.001417,0.000205
89393,2016/05/19,NFLX,NETFLIX INC,Q,,89.55000,11450323,89.53000,89.55000,90.16000,62832,-0.003796,-0.006323,-0.003707
89393,2016/05/20,NFLX,NETFLIX INC,Q,,92.49000,15063042,92.49000,92.51000,90.08000,84583,0.007625,0.010395,0.006019
89393,2016/05/23,NFLX,NETFLIX INC,Q,,94.89000,13992330,94.88000,94.89000,92.98000,84951,-0.001791,0.001971,-0.002085
89393,2016/05/24,NFLX,NETFLIX INC,Q,,97.89000,21251023,97.88000,97.89000,95.98000,116362,0.013120,0.011289,0.013681
89393,2016/05/25,NFLX,NETFLIX INC,Q,,100.20000,15211295,100.20000,100.21000,99.00000,84340,0.007316,0.008147,0.006975
89393,2016/05/26,NFLX,NETFLIX INC,Q,,102.81000,17824673,102.81000,102.84000,103.21000,103608,-0.000122,-0.000724,-0.000210
89393,2016/05/27,NFLX,NETFLIX INC,Q,,103.30000,9092127,103.29000,103.30000,102.44000,59577,0.004400,0.004877,0.004287
89393,2016/05/31,NFLX,NETFLIX INC,Q,,102.57000,8731646,102.57000,102.60000,102.95000,54527,-0.000349,0.003282,-0.001000
89393,2016/06/01,NFLX,NETFLIX INC,Q,,101.51000,8393380,101.49000,101.51000,101.50000,58388,0.002368,0.005114,0.001130
89393,2016/06/02,NFLX,NETFLIX INC,Q,,101.25000,7992448,101.23000,101.26000,101.39000,50300,0.003643,0.004058,0.002825
89393,2016/06/03,NFLX,NETFLIX INC,Q,,99.59000,9223994,99.55000,99.57000,100.99000,61038,-0.001914,-0.000081,-0.002912
89393,2016/06/06,NFLX,NETFLIX INC,Q,,100.74000,6828128,100.74000,100.77000,100.29000,42713,0.006139,0.010987,0.004897
89393,2016/06/07,NFLX,NETFLIX INC,Q,,99.89000,6474742,99.89000,99.90000,101.20000,39756,0.002134,0.004187,0.001289
89393,2016/06/08,NFLX,NETFLIX INC,Q,,97.86000,9423938,97.84000,97.86000,100.02000,57695,0.003560,0.006506,0.003309
89393,2016/06/09,NFLX,NETFLIX INC,Q,,97.09000,8924303,97.06000,97.09000,97.22000,51859,-0.002809,-0.005594,-0.001718
89393,2016/06/10,NFLX,NETFLIX INC,Q,,93.75000,12907900,93.74000,93.75000,94.88000,79258,-0.011219,-0.013736,-0.009175
89393,2016/06/13,NFLX,NETFLIX INC,Q,,93.85000,13484345,93.85000,93.87000,95.02000,83814,-0.008116,-0.009596,-0.008115
89393,2016/06/14,NFLX,NETFLIX INC,Q,,94.12000,9488096,94.10000,94.11000,94.16000,51705,-0.002768,-0.005220,-0.001799
89393,2016/06/15,NFLX,NETFLIX INC,Q,,94.29000,7675449,94.29000,94.32000,94.61000,46460,-0.000497,0.003857,-0.001841
89393,2016/06/16,NFLX,NETFLIX INC,Q,,95.44000,7550774,95.44000,95.45000,94.18000,48241,0.001908,-0.002111,0.003133
89393,2016/06/17,NFLX,NETFLIX INC,Q,,94.45000,8046841,94.44000,94.45000,95.75000,45741,-0.001765,0.001627,-0.003258
89393,2016/06/20,NFLX,NETFLIX INC,Q,,93.80000,9026376,93.78000,93.81000,95.22000,55248,0.007266,0.010068,0.005808
89393,2016/06/21,NFLX,NETFLIX INC,Q,,90.99000,15199727,90.97000,90.99000,93.87000,89897,0.002339,-0.001062,0.002712
89393,2016/06/22,NFLX,NETFLIX INC,Q,,90.01000,9486174,90.00000,90.01000,90.78000,60931,-0.001876,-0.002204,-0.001652
89393,2016/06/23,NFLX,NETFLIX INC,Q,,91.66000,10819033,91.64000,91.66000,90.62000,62519,0.014412,0.014345,0.013364
89393,2016/06/24,NFLX,NETFLIX INC,Q,,88.44000,11248582,88.43000,88.44000,87.53000,84392,-0.036563,-0.030442,-0.035920
89393,2016/06/27,NFLX,NETFLIX INC,Q,,85.33000,13776456,85.31000,85.33000,87.88000,99166,-0.020279,-0.025579,-0.018097
89393,2016/06/28,NFLX,NETFLIX INC,Q,,87.97000,11545631,87.97000,87.98000,87.41000,73803,0.018033,0.018963,0.017770
89393,2016/06/29,NFLX,NETFLIX INC,Q,,91.06000,11687079,91.04000,91.06000,89.67000,72653,0.017587,0.016160,0.017033
89393,2016/06/30,NFLX,NETFLIX INC,Q,,91.48000,9099571,91.48000,91.49000,90.91000,52305,0.013177,0.009824,0.013565
89393,2016/07/01,NFLX,NETFLIX INC,Q,,96.67000,16167210,96.68000,96.71000,95.00000,99507,0.003012,0.007662,0.001949
89393,2016/07/05,NFLX,NETFLIX INC,Q,,97.91000,25880167,97.91000,97.92000,95.20000,147073,-0.008206,-0.011088,-0.006848
89393,2016/07/06,NFLX,NETFLIX INC,Q,,94.60000,16301211,94.59000,94.60000,95.03000,95203,0.005432,0.004358,0.005353
89393,2016/07/07,NFLX,NETFLIX INC,Q,,95.10000,9913509,95.09000,95.11000,94.70000,58693,-0.000696,0.001076,-0.000872
89393,2016/07/08,NFLX,NETFLIX INC,Q,,97.06000,8335375,97.06000,97.07000,96.00000,54765,0.015466,0.016916,0.015253
89393,2016/07/11,NFLX,NETFLIX INC,Q,,94.67000,13277997,94.64000,94.67000,96.19000,74151,0.004198,0.006844,0.003409
89393,2016/07/12,NFLX,NETFLIX INC,Q,,95.97000,11617610,95.97000,95.98000,95.07000,67046,0.007911,0.010676,0.007009
89393,2016/07/13,NFLX,NETFLIX INC,Q,,96.43000,8768863,96.42000,96.45000,96.26000,52188,-0.000220,-0.002460,0.000135
89393,2016/07/14,NFLX,NETFLIX INC,Q,,98.02000,9885009,98.02000,98.04000,97.00000,51070,0.004673,0.002047,0.005259
89393,2016/07/15,NFLX,NETFLIX INC,Q,,98.39000,9041865,98.38000,98.39000,98.52000,53516,-0.000801,0.001042,-0.000929
89393,2016/07/18,NFLX,NETFLIX INC,Q,,98.81000,28669659,98.80000,98.81000,98.43000,150990,0.002594,0.003146,0.002382
